"callsign","Counter","time","Latitude","Longitude","Altitude","HorizontalSpeed","Heading","Satellites","Temperature","BatteryVoltage","BatteryCurrent","gyro_x","gyro_y","gyro_z","accel_z","infrared","Temp.","timestamp"
"$CST","1778","18:33:41","52.20205","0.11681","00023","0","0","9","30.4","5.3","0.001","0.8828","-0.2422","0.8203","10.32","357.0","22.4","1572719614.487*E6B2"
"$CST","1779","18:33:55","52.20199","0.11682","00019","0","0","9","30.4","5.3","0.001","0.8125","0.0938","0.5781","10.33","356.0","22.4","1572719634.825*9D5A"
"$CST","1780","18:34:09","52.20197","0.11683","00019","0","0","10","30.4","5.3","0.001","0.7031","0.0938","0.8516","10.31","357.0","22.4","1572719644.971*15B6"
"$v:vF4>zkN""oF]GR)xW_F3}?=tz","[kYmB~WED#TmdcVK(.yMUU4\","f}@?"
"$CST","1781","18:34:23","52.20196","0.11682","00022","0","0","10","30.4","5.3","0.001","0.3438","-0.125","0.5703","10.32","356.0","22.4","1572719655.104*2EC5"
"$CST","1782","18:34:36","52.20198","0.11681","00026","0","0","10","30.4","5.3","0.001","0.5312","-0.125","0.3359","10.31","357.0","22.4","1572719675.41*9D8A"
"$CST","1783","18:34:51","52.20199","0.11678","00034","0","0","10","30.4","5.3","0.001","0.6484","-0.1406","0.7031","10.32","357.0","22.4","1572719685.576*342D"
"$CST","1784","18:35:05","52.20203","0.11674","00043","0","0","10","30.4","5.3","0.001","0.7734","-0.0938","0.6094","10.32","357.0","22.4","1572719705.888*D6C8"
"$CST","1785","18:35:19","52.20203","0.11673","00040","0","0","10","30.4","5.3","0.001","0.4922","-0.3594","0.6641","10.3","357.0","22.4","1572719716.001*D3E5"
"$CST","1786","18:35:33","52.20201","0.11672","00034","0","0","9","30.4","5.3","0.001","0.3828","-0.1641","0.4297","10.32","357.0","22.4","1572719726.132*D9CF"
"$CST","1787","18:35:47","52.20200","0.11669","00028","0","0","11","30.4","5.3","0.001","0.7031","-0.5625","0.6797","10.3","357.0","22.4","1572719746.409*2589"
"$CST","1788","18:36:00","52.20200","0.11665","00025","0","0","10","30.4","5.3","0.001","0.5547","-0.4297","0.7969","10.31","357.0","22.4","1572719756.546*ADF9"
"$CST","1789","18:36:15","52.20198","0.11661","00017","0","0","10","30.4","5.3","0.001","0.8125","-0.1406","0.4844","10.34","357.0","22.4","1572719766.707*4896"
"$CST","1791","18:36:42","52.20202","0.11655","00016","0","0","10","30.4","5.3","0.001","0.5781","0.1094","0.7344","10.3","357.0","22.4","1572719797.141*E7D3"
"$CST","1792","18:36:56","52.20203","0.11657","00015","0","0","10","30.4","5.3","0.001","0.8594","-0.2891","0.5547","10.31","357.0","22.4","1572719817.423*AF61"
